complaint_id,category,subcategory,title,description,location_address,ward_number,latitude,longitude,priority,status,created_date,resolved_date,resolution_time_hours
1,"roads","flooding","Bridge damage near BTM Layout","Bridge damage near BTM Layout. Structural safety concern.","BTM Layout Ward 93",19,13.0790,77.5091,"high","in-progress",2024-11-12,,
2,"roads","flooding","Road completely collapsed near park entrance","Road completely collapsed near park entrance. Traffic at standstill.","CV Raman Nagar Ward 19",10,12.9724,77.7162,"high","in-progress",2024-06-10,,
3,"water","leakage","Contaminated water with foul smell in Hebbal","Contaminated water with foul smell in Hebbal. Health hazard for 180 residents.","Hebbal Ward 37",86,12.9887,77.6598,"high","pending",2024-12-17,,
4,"roads","flooding","Road completely collapsed near shopping mall","Road completely collapsed near shopping mall. Traffic at standstill.","Indiranagar Ward 79",150,12.9889,77.6373,"high","resolved",2024-07-06,2024-07-07,26
5,"electricity","transformer","Transformer sparking near market area","Transformer sparking near market area. Risk of fire and electric shock.","BTM Layout Ward 148",3,13.0270,77.6247,"high","pending",2024-01-21,,
6,"roads","repair","Road completely collapsed near market area","Road completely collapsed near market area. Traffic at standstill.","HSR Layout Ward 163",2,12.8665,77.5566,"high","pending",2024-03-20,,
7,"roads","flooding","Road completely collapsed near residential complex","Road completely collapsed near residential complex. Traffic at standstill.","BTM Layout Ward 75",28,12.9035,77.6675,"high","in-progress",2024-05-10,,
8,"electricity","streetlight","Frequent short circuits causing appliance damage in HSR Layout","Frequent short circuits causing appliance damage in HSR Layout.","HSR Layout Ward 10",170,13.1036,77.5104,"high","in-progress",2024-01-05,,
9,"water","supply","Sewage overflow near market area","Sewage overflow near market area. Urgent cleaning and repair required.","Vijayanagar Ward 109",104,12.8684,77.6203,"high","resolved",2024-11-17,2024-11-21,97
10,"roads","flooding","Road completely collapsed near residential complex","Road completely collapsed near residential complex. Traffic at standstill.","Rajajinagar Ward 153",57,12.8854,77.6531,"high","pending",2024-04-09,,
11,"roads","maintenance","Large pothole on RT Nagar main road causing accidents","Large pothole on RT Nagar main road causing accidents. 310 vehicles damaged.","RT Nagar Ward 75",5,13.0422,77.5105,"high","pending",2024-05-07,,
12,"electricity","streetlight","Frequent short circuits causing appliance damage in Kammanahalli","Frequent short circuits causing appliance damage in Kammanahalli.","Kammanahalli Ward 198",122,12.8897,77.5238,"high","in-progress",2024-09-22,,
13,"water","supply","No water supply for 2 days in CV Raman Nagar","No water supply for 2 days in CV Raman Nagar. 570 households affected. Urgent intervention needed.","CV Raman Nagar Ward 42",40,13.0262,77.5743,"high","resolved",2024-11-08,2024-11-13,114
14,"electricity","outage","Live wire hanging on road in Indiranagar","Live wire hanging on road in Indiranagar. Immediate safety hazard.","Indiranagar Ward 134",13,13.0949,77.4954,"high","in-progress",2024-05-03,,
15,"roads","repair","Flooding on RT Nagar making road unusable during rain","Flooding on RT Nagar making road unusable during rain.","RT Nagar Ward 184",37,12.8247,77.5378,"high","resolved",2024-11-18,2024-11-21,74
16,"electricity","billing","Live wire hanging on road in Hebbal","Live wire hanging on road in Hebbal. Immediate safety hazard.","Hebbal Ward 31",89,12.9783,77.5051,"high","resolved",2024-08-18,2024-08-23,117
17,"roads","repair","Large pothole on Indiranagar main road causing accidents","Large pothole on Indiranagar main road causing accidents. 410 vehicles damaged.","Indiranagar Ward 152",114,12.9237,77.6607,"high","resolved",2024-07-31,2024-08-03,56
18,"water","supply","Major pipeline burst causing flooding in Malleshwaram","Major pipeline burst causing flooding in Malleshwaram. Water wastage and property damage.","Malleshwaram Ward 130",148,12.8311,77.7354,"high","escalated",2024-10-22,,
19,"water","quality","Major pipeline burst causing flooding in Sarjapur Road","Major pipeline burst causing flooding in Sarjapur Road. Water wastage and property damage.","Sarjapur Road Ward 176",27,13.0870,77.6046,"high","resolved",2024-12-15,2024-12-17,41
20,"electricity","streetlight","Transformer sparking near church","Transformer sparking near church. Risk of fire and electric shock.","Yelahanka Ward 186",119,13.0376,77.6213,"high","resolved",2024-06-20,2024-06-23,57
21,"roads","pothole","Road completely collapsed near post office","Road completely collapsed near post office. Traffic at standstill.","Rajajinagar Ward 100",102,12.9393,77.5957,"high","in-progress",2024-04-03,,
22,"electricity","streetlight","Frequent short circuits causing appliance damage in Koramangala","Frequent short circuits causing appliance damage in Koramangala.","Koramangala Ward 13",198,12.9428,77.5184,"high","pending",2024-04-19,,
23,"water","quality","Contaminated water with foul smell in Marathahalli","Contaminated water with foul smell in Marathahalli. Health hazard for 540 residents.","Marathahalli Ward 81",186,12.8588,77.6306,"high","resolved",2024-08-23,2024-08-23,4
24,"roads","maintenance","Flooding on BTM Layout making road unusable during rain","Flooding on BTM Layout making road unusable during rain.","BTM Layout Ward 55",199,13.0591,77.7047,"high","in-progress",2024-02-18,,
25,"water","supply","No water supply for 2 days in Indiranagar","No water supply for 2 days in Indiranagar. 320 households affected. Urgent intervention needed.","Indiranagar Ward 169",118,12.9473,77.4793,"high","pending",2024-11-14,,
26,"electricity","transformer","Live wire hanging on road in Jayanagar","Live wire hanging on road in Jayanagar. Immediate safety hazard.","Jayanagar Ward 136",150,12.9430,77.6540,"high","in-progress",2024-11-03,,
